Tennis French Open 2011 Mens Tournament Third Round Matches A Murray v Berrer 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1306583389650,Sat May 28 12:49:49 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,285.01,1.47,288.03,237241.47,1.47,
1306583394650,Sat May 28 12:49:54 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,192.25,1.47,288.03,237426.98,1.45,
1306583396650,Sat May 28 12:49:56 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,192.25,1.47,188.03,237626.98,1.47,
1306583397650,Sat May 28 12:49:57 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,186.15,1.47,188.03,237639.17,1.45,
1306583398650,Sat May 28 12:49:58 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,186.15,1.47,177.03,237661.17,1.47,
1306583399650,Sat May 28 12:49:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,186.15,1.47,167.03,237681.17,1.47,
1306583401650,Sat May 28 12:50:01 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,186.15,1.5,48.53,237681.17,1.47,
1306583402650,Sat May 28 12:50:02 BST 2011,5,ACTIVE,A Murray 3 - 0,1.47,21.66,1.5,48.53,237681.17,1.47,
1306583406650,Sat May 28 12:50:06 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,40.79,1.5,48.53,238015.23,1.45,
1306583420650,Sat May 28 12:50:20 BST 2011,5,ACTIVE,A Murray 3 - 0,1.2,500.0,1.45,29.69,238096.83,1.45,
1306583422650,Sat May 28 12:50:22 BST 2011,5,ACTIVE,A Murray 3 - 0,1.2,500.0,1.45,29.69,238096.83,1.45,
1306583433650,Sat May 28 12:50:33 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,70.31,1.79,313.2,238156.2,1.45,
1306583438650,Sat May 28 12:50:38 BST 2011,5,ACTIVE,A Murray 3 - 0,2.3,97.96,4.0,192.4,239178.47,1.99,
1306583440650,Sat May 28 12:50:40 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,74.64,4.0,192.4,239178.47,1.99,
1306583444650,Sat May 28 12:50:44 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,70.31,4.0,192.4,239178.47,1.99,
1306583445650,Sat May 28 12:50:45 BST 2011,5,ACTIVE,A Murray 3 - 0,1.2,500.0,4.0,192.4,239178.47,1.99,
1306583451650,Sat May 28 12:50:51 BST 2011,5,ACTIVE,A Murray 3 - 0,1.2,500.0,1.5,11.26,239178.47,1.99,
1306583467650,Sat May 28 12:51:07 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,55.46,2.0,100.0,239201.02,1.5,
1306583468650,Sat May 28 12:51:08 BST 2011,5,ACTIVE,A Murray 3 - 0,1.11,4081.07,2.0,119.0,239201.02,1.5,
