Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 17:42:35 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132335.4,2.74,
Sat Apr 02 17:42:36 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132345.4,2.74,
Sat Apr 02 17:42:38 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132387.8,2.74,
Sat Apr 02 17:42:40 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132389.56,2.78,
Sat Apr 02 17:42:42 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132389.56,2.8,
Sat Apr 02 17:42:43 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132559.97,2.78,
Sat Apr 02 17:42:46 BST 2011,5,ACTIVE,Maria Sharapova,2.86,244.61,3.05,2.8,132564.38,2.78,
Sat Apr 02 17:42:47 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132809.0,2.86,
Sat Apr 02 17:42:48 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.88,31.18,132809.0,2.86,
Sat Apr 02 17:42:50 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.78,2.0,132809.0,2.86,
Sat Apr 02 17:42:51 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.74,8.83,132809.0,2.86,
Sat Apr 02 17:42:52 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.78,2.0,132817.83,2.74,
Sat Apr 02 17:42:53 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.78,40.24,132817.83,2.74,
Sat Apr 02 17:42:55 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.78,40.24,132817.83,2.74,
Sat Apr 02 17:42:56 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.78,38.24,132817.83,2.74,
Sat Apr 02 17:42:57 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.78,30.9,132817.83,2.74,
Sat Apr 02 17:42:58 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,3.05,2.8,132863.73,2.78,
Sat Apr 02 17:42:59 BST 2011,5,ACTIVE,Maria Sharapova,2.78,15.62,3.05,2.8,132863.73,2.78,
Sat Apr 02 17:43:00 BST 2011,5,ACTIVE,Maria Sharapova,2.78,15.62,3.05,2.8,132894.92,2.84,
Sat Apr 02 17:43:01 BST 2011,5,ACTIVE,Maria Sharapova,2.78,15.62,3.05,2.8,132894.92,2.84,
Sat Apr 02 17:43:02 BST 2011,5,ACTIVE,Maria Sharapova,2.78,15.62,3.05,2.8,132894.92,2.84,
Sat Apr 02 17:43:03 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132894.92,2.84,
Sat Apr 02 17:43:04 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132894.94,2.9,
Sat Apr 02 17:43:05 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132941.56,2.88,
Sat Apr 02 17:43:09 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132956.16,2.94,
Sat Apr 02 17:43:10 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132957.92,2.88,
Sat Apr 02 17:43:11 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132982.92,2.88,
Sat Apr 02 17:43:12 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132992.92,2.94,
Sat Apr 02 17:43:13 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,2.88,17.65,132992.92,2.94,
Sat Apr 02 17:43:15 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132992.92,2.94,
Sat Apr 02 17:43:16 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,3.05,2.8,132992.92,2.94,
Sat Apr 02 17:43:18 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,2.68,3.53,132992.92,2.94,
Sat Apr 02 17:43:23 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,2.68,3.53,132992.92,2.94,
Sat Apr 02 17:43:27 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,2.68,3.53,132992.92,2.94,
Sat Apr 02 17:43:28 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,2.68,3.53,132992.92,2.94,
Sat Apr 02 17:43:30 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.68,3.53,132992.92,2.94,
Sat Apr 02 17:43:31 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.68,3.53,133010.58,2.58,
Sat Apr 02 17:43:33 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.54,31.18,133010.58,2.58,
Sat Apr 02 17:43:34 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.54,31.18,133032.66,2.52,
Sat Apr 02 17:43:36 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.54,31.18,133071.66,2.52,
Sat Apr 02 17:43:38 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.54,31.18,133071.66,2.52,
Sat Apr 02 17:43:40 BST 2011,5,ACTIVE,Maria Sharapova,2.54,31.18,2.66,44.14,133071.66,2.52,
Sat Apr 02 17:43:41 BST 2011,5,ACTIVE,Maria Sharapova,2.48,555.0,2.66,44.14,133071.66,2.52,
Sat Apr 02 17:43:42 BST 2011,5,ACTIVE,Maria Sharapova,2.58,23.83,2.66,44.14,133071.66,2.52,
Sat Apr 02 17:43:43 BST 2011,5,ACTIVE,Maria Sharapova,2.58,23.83,2.66,44.14,133071.66,2.52,
Sat Apr 02 17:43:44 BST 2011,5,ACTIVE,Maria Sharapova,2.58,23.83,2.66,44.14,133071.66,2.52,
Sat Apr 02 17:43:45 BST 2011,5,ACTIVE,Maria Sharapova,2.58,23.83,2.68,3.53,133071.66,2.52,
Sat Apr 02 17:43:46 BST 2011,5,ACTIVE,Maria Sharapova,2.3,10.0,2.68,3.53,133135.23,2.58,
Sat Apr 02 17:43:48 BST 2011,5,ACTIVE,Maria Sharapova,2.58,555.0,2.68,3.53,133135.23,2.58,
Sat Apr 02 17:43:52 BST 2011,5,ACTIVE,Maria Sharapova,2.58,511.07,2.68,3.53,133223.53,2.58,
Sat Apr 02 17:43:54 BST 2011,5,ACTIVE,Maria Sharapova,2.58,442.89,2.68,3.53,133359.89,2.58,
Sat Apr 02 17:43:55 BST 2011,5,ACTIVE,Maria Sharapova,2.58,442.89,2.9,2.64,133363.42,2.68,
Sat Apr 02 17:43:57 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133363.42,2.68,
Sat Apr 02 17:43:58 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133363.42,2.68,
Sat Apr 02 17:44:04 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133365.9,2.8,
Sat Apr 02 17:44:06 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133365.9,2.8,
Sat Apr 02 17:44:11 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133367.9,2.84,
Sat Apr 02 17:44:12 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133369.69,2.84,
Sat Apr 02 17:44:13 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133387.34,2.84,
Sat Apr 02 17:44:17 BST 2011,5,ACTIVE,Maria Sharapova,2.7,1765.84,2.9,2.64,133389.11,2.84,
Sat Apr 02 17:44:19 BST 2011,5,ACTIVE,Maria Sharapova,2.68,13441.63,2.9,2.64,133390.88,2.84,
