Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:46:29 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:30 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:31 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:32 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:33 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:34 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:35 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:36 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:37 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:38 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:39 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:40 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:41 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:42 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:43 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:44 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:45 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:46 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:47 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:48 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:49 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:50 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:51 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:52 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:53 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:54 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:55 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:56 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:57 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:58 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:46:59 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:00 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:01 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:02 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:03 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:04 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:05 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:06 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:07 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1523.59,1.68,1618.25,52022.39,1.67,
Sat Apr 02 09:47:08 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:09 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:10 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:11 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:12 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:13 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:14 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:15 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:16 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:17 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:18 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:19 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:20 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:21 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:22 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
