Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:47:12 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:13 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:14 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:15 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:16 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:17 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:18 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:19 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:20 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:21 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:22 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:23 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:24 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:25 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:26 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:27 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
