Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1301764870285,Sat Apr 02 18:21:10 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,23465.34,1.18,13187.47,1954004.6,1.18,
1301764871285,Sat Apr 02 18:21:11 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,23439.99,1.18,13187.47,1954055.4,1.17,
1301764872285,Sat Apr 02 18:21:12 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,23439.99,1.18,12543.28,1955343.8,1.18,
1301764873285,Sat Apr 02 18:21:13 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,23442.48,1.18,12543.28,1955343.8,1.18,
1301764874285,Sat Apr 02 18:21:14 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20589.6,1.18,12543.28,1960519.8,1.17,
1301764875285,Sat Apr 02 18:21:15 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20444.57,1.18,12543.28,1960809.8,1.17,
1301764876285,Sat Apr 02 18:21:16 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20440.15,1.18,12445.1,1961006.1,1.18,
1301764877285,Sat Apr 02 18:21:17 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20440.15,1.18,12432.63,1961031.1,1.18,
1301764879285,Sat Apr 02 18:21:19 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20074.1,1.18,12318.63,1961991.2,1.18,
1301764880285,Sat Apr 02 18:21:20 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.63,1.18,12318.63,1961991.2,1.18,
1301764881285,Sat Apr 02 18:21:21 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.63,1.18,12314.22,1962000.0,1.18,
1301764882285,Sat Apr 02 18:21:22 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.62,1.18,12225.93,1962176.6,1.18,
1301764883285,Sat Apr 02 18:21:23 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.62,1.18,11782.19,1963059.5,1.18,
1301764884285,Sat Apr 02 18:21:24 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.62,1.18,11752.19,1963119.5,1.18,
1301764886285,Sat Apr 02 18:21:26 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.62,1.18,11752.19,1963119.5,1.18,
1301764887285,Sat Apr 02 18:21:27 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20077.62,1.18,11752.19,1963119.5,1.18,
1301764888285,Sat Apr 02 18:21:28 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20075.13,1.18,11608.04,1963407.9,1.18,
1301764889285,Sat Apr 02 18:21:29 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,20072.83,1.18,11431.46,1963765.6,1.17,
1301764891285,Sat Apr 02 18:21:31 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,19641.74,1.18,11403.46,1964710.4,1.17,
1301764893285,Sat Apr 02 18:21:33 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,19641.74,1.18,10404.46,1966708.4,1.18,
1301764896285,Sat Apr 02 18:21:36 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,19509.3,1.18,10304.46,1966908.4,1.18,
1301764897285,Sat Apr 02 18:21:37 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,19429.3,1.18,10296.98,1966923.2,1.18,
1301764899285,Sat Apr 02 18:21:39 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20887.65,1.17,24874.86,2006564.1,1.17,
1301764902285,Sat Apr 02 18:21:42 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20887.65,1.17,24448.28,2007417.2,1.17,
1301764903285,Sat Apr 02 18:21:43 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20887.65,1.17,24536.57,2007417.2,1.17,
1301764905285,Sat Apr 02 18:21:45 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20869.99,1.17,24527.74,2007434.9,1.17,
1301764906285,Sat Apr 02 18:21:46 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20869.99,1.17,25818.22,2008308.0,1.17,
1301764907285,Sat Apr 02 18:21:47 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20869.99,1.17,22124.78,2015694.9,1.17,
1301764908285,Sat Apr 02 18:21:48 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,20869.99,1.17,22185.53,2015694.9,1.17,
1301764912285,Sat Apr 02 18:21:52 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,19361.37,1.17,22175.55,2015714.8,1.17,
1301764914285,Sat Apr 02 18:21:54 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,7000.43,1.17,21021.17,2017725.5,1.17,
1301764915285,Sat Apr 02 18:21:55 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,7004.84,1.17,20941.17,2017885.5,1.17,
1301764916285,Sat Apr 02 18:21:56 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,7004.84,1.17,20944.17,2017885.5,1.17,
1301764917285,Sat Apr 02 18:21:57 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,8513.46,1.17,20850.63,2018072.5,1.17,
1301764919285,Sat Apr 02 18:21:59 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,8513.46,1.17,20815.11,2018143.6,1.17,
